...1,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
83469,850389660427102,April,DE,382.8814,125,10,42,1,NA,43,2,7,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
83470,850449660509104,April,DE,532.2078,660.8,40,43,1,NA,25,1,1,1,2,"Native, Born In US",5,Pharmacies and drug stores (44611),4700,"Private, For Profit",No,No,Employed-At Work
83475,954000844169650,April,DE,399.6731,400,38,40,1,NA,51,2,5,0,0,"Native, Born In US",5,Administration of human resource programs (923),5700,Government - State,No,No,Employed-At Work
83479,9240092350721,April,DE,319.8153,557,37,41,2,NA,37,2,7,1,3,"Native, Born In US",5,Public finance activities (92113),430,Government - State,No,No,Employed-At Work
83484,10150183390121,April,DE,412.9872,1100,50,39,1,NA,55,1,1,0,0,"Native, Born In US",5,Automobile dealers (4411),4760,"Private, For Profit",No,No,Employed-At Work
83486,10650059270161,April,DE,380.1866,1250,40,43,4,NA,55,2,1,0,0,"Foreign Born, US Cit By Naturalization",5,Pharmacies and drug stores (44611),5120,"Private, For Profit",No,No,Employed-At Work
83487,10650059270161,April,DE,485.2374,865.38,35,45,4,NA,28,1,1,1,1,"Foreign Born, US Cit By Naturalization",5,"Not specified retail trade (Part of 44, 45)",4760,"Private, For Profit",No,No,Employed-At Work
83490,19400364410961,April,DE,382.1414,1961.53,55,43,1,NA,56,2,1,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",120,"Private, For Profit",No,No,Employed-At Work
83492,19450301230921,April,DE,404.1352,320,32,39,1,NA,40,2,7,0,0,"Native, Born In US",5,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",100,"Private, For Profit",No,No,Employed-At Work
83493,19580195860721,April,DE,421.8589,2692.3,45,46,1,NA,54,2,1,0,0,"Native, Born In US",5,"Industrial and miscellaneous chemicals (3251, 3259)",430,"Private, For Profit",No,No,Employed-At Work
83494,19580195860721,April,DE,412.9872,1884.61,45,46,1,NA,56,1,1,0,0,"Foreign Born, US Cit By Naturalization",5,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,Yes,NA,Employed-At Work
83496,20105094312319,April,DE,412.9872,1360,50,42,1,NA,57,1,1,0,0,"Native, Born In US",5,"Management, scientific, and technical consulting services (5416)",430,"Private, For Profit",No,No,Employed-At Work
83497,20805074316319,April,DE,448.9093,807.69,40,44,1,NA,42,1,1,2,3,"Native, Born In US",5,**Newspaper publishers (51111),2830,"Private, For Profit",No,No,Employed-At Work
83498,20805074316319,April,DE,446.1924,1442.3,40,43,1,NA,36,2,1,2,3,"Native, Born In US",5,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work
83502,27691600939096,April,DE,370.3896,1365,40,45,1,NA,61,2,1,0,0,"Native, Born In US",5,Hospitals (622),3320,"Private, For Profit",No,No,Employed-At Work
83503,39750157720761,April,DE,471.4342,1115.38,40,44,4,NA,32,1,3,0,0,"Foreign Born, Not a US Citizen",5,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work
83504,39750157720761,April,DE,471.4342,1115.38,40,44,4,NA,33,1,7,0,0,"Foreign Born, Not a US Citizen",5,Computer systems design and related services (5415),1020,"Private, For Profit",No,No,Employed-At Work
83509,41031200786989,April,DE,1241.2011,1057.69,40,39,2,4,45,1,1,1,4,"Foreign Born, US Cit By Naturalization",5,** Construction (23),6260,"Private, For Profit",No,No,Employed-At Work
83510,41031200786989,April,DE,732.3328,769.23,40,39,2,4,43,2,1,1,4,"Foreign Born, US Cit By Naturalization",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work
83513,41031200936999,April,DE,412.9872,2884.61,40,44,1,NA,55,1,1,0,0,"Foreign Born, US Cit By Naturalization",5,"Other schools, instruction, and educational services (6116, 6117)",2340,"Private, Nonprofit",No,No,Employed-At Work
83514,41031200936999,April,DE,370.3896,380,40,43,1,NA,62,2,1,0,0,"Native, Born In US",5,"Health and personal care, except drug, stores (446 exc. 44611)",4760,"Private, For Profit",No,No,Employed-At Work
83515,41031200936999,April,DE,520.0287,280,35,40,1,NA,20,2,7,0,0,"Native, Born In US",5,Pharmacies and drug stores (44611),4720,"Private, For Profit",No,No,Employed-At Work
83516,41031200936999,April,DE,520.9219,320.25,40,40,1,NA,23,1,7,0,0,"Native, Born In US",5,****Department stores and discount stores (s45211),700,"Private, For Profit",No,No,Employed-At Work
83520,47141200980692,April,DE,561.7507,396,45,43,1,NA,28,1,7,0,0,"Native, Born In US",5,Insurance carriers and related activities (524),4810,"Private, For Profit",No,No,Employed-At Work
83521,47531600780291,April,DE,561.7507,2884.61,90,43,1,NA,29,1,4,0,0,"Native, Born In US",5,Automotive repair and maintenance (8111 exc. 811192),430,"Private, For Profit",No,No,Employed-At Work
83522,50769560929100,April,DE,516.8542,600,40,39,2,NA,55,1,5,0,0,"Native, Born In US",5,"Colleges and universities, including junior colleges (6112, 6113)",4220,Government - State,Yes,NA,Employed-At Work
83525,52901200987586,April,DE,447.3093,1461,40,43,1,NA,31,1,7,0,0,"Native, Born In US",5,** Construction (23),120,"Private, For Profit",No,No,Employed-At Work
83526,52901200987586,April,DE,446.7702,2019,50,39,1,NA,53,1,1,0,0,"Native, Born In US",5,Services incidental to transportation (488),5000,"Private, For Profit",No,No,Employed-At Work
83529,52901600117506,April,DE,530.3952,1846.15,40,43,4,NA,33,2,1,2,5,"Foreign Born, US Cit By Naturalization",5,"Banking and related activities (521, 52211,52219)",740,"Private, For Profit",No,No,Employed-At Work
83531,52901600767596,April,DE,421.8589,640,40,39,1,NA,53,2,1,0,0,"Native, Born In US",5,4265,5700,"Private, For Profit",No,No,Employed-At Work
83532,52901600767596,April,DE,520.0287,100,10,40,1,NA,20,2,7,0,0,"Native, Born In US",5,Grocery stores (4451),4720,"Private, For Profit",No,No,Employed-At Work
83533,52901600767596,April,DE,561.7507,1450,40,39,1,NA,25,1,7,0,0,"Native, Born In US",5,*** Electronic shopping (New industry *454111),1006,"Private, For Profit",No,No,Employed-At Work
83537,57711200962597,April,DE,421.8589,2307,50,44,1,NA,54,2,1,0,0,"Native, Born In US",5,Offices of physicians (6211),3258,"Private, For Profit",No,No,Employed-At Work
83539,57711600732597,April,DE,476.872,630,40,44,1,NA,35,1,1,0,0,"Foreign Born, Not a US Citizen",5,Computer systems design and related services (5415),1007,"Private, For Profit",No,No,Employed-At Work
83540,59240092350961,April,DE,382.1414,690,30,43,1,NA,56,2,1,0,0,"Native, Born In US",5,Religious organizations (8131),5700,"Private, Nonprofit",No,No,Employed-At Work
83542,59580195860921,April,DE,412.9872,2884.61,60,45,1,NA,55,1,5,0,0,"Native, Born In US",5,Legal services (5411),2850,"Private, For Profit",No,No,Employed-At Work
83545,59960521980761,April,DE,448.5274,1308.4,40,43,1,NA,64,1,1,0,0,"Native, Born In US",5,Services incidental to transportation (488),7630,"Private, For Profit",No,No,Employed-At Work
83546,66070199160200,April,DE,448.9093,275,40,43,1,NA,42,1,1,3,3,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",3710,Government - State,Yes,NA,Employed-At Work
83547,66070199160200,April,DE,404.1352,923.07,40,44,1,NA,40,2,1,3,3,"Native, Born In US",5,Employment services (5613),230,"Private, Nonprofit",No,No,Employed-At Work
83548,69151200988299,April,DE,392.2828,730.76,40,43,2,NA,57,2,7,0,0,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",2000,Government - State,Yes,NA,Employed-At Work
83549,69400364410721,April,DE,446.7702,2884.61,50,45,1,NA,53,1,1,0,0,"Native, Born In US",5,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
83550,69400364410721,April,DE,382.1414,615.38,25,44,1,NA,55,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),3230,Government - State,Yes,NA,Employed-At Work
83551,69650059270761,April,DE,418.4044,1711.53,40,43,1,NA,45,1,6,1,3,"Native, Born In US",5,"Electric power generation, transmission and distribution (Pt. 2211)",1107,"Private, For Profit",No,No,Employed-At Work
83552,69650059270761,April,DE,424.972,100,15,38,1,NA,18,2,7,0,0,"Native, Born In US",5,"Other amusement, gambling, and recreation industries (713 exc. 71395)",4110,"Private, For Profit",No,No,Employed-At Work
83553,69750157720921,April,DE,447.3093,750,40,43,1,NA,33,1,7,0,0,"Native, Born In US",5,"Non-depository credit and related activities (5222, 5223)",800,"Private, For Profit",No,Yes,Employed-At Work
83554,70102006916960,April,DE,406.5908,1807.69,40,46,4,NA,50,1,1,0,0,"Foreign Born, US Cit By Naturalization",5,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work
83555,70102006916960,April,DE,483.6461,1711.53,40,46,4,NA,44,2,1,0,0,"Foreign Born, US Cit By Naturalization",5,Pharmacies and drug stores (44611),3050,"Private, For Profit",No,No,Employed-At Work
83558,70802076912969,April,DE,472.4641,769.23,40,44,1,NA,29,2,1,1,2,"Native, Born In US",5,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",4800,"Private, For Profit",No,No,Employed-At Work
83559,75040147120710,April,DE,542.0979,1246,50,42,2,NA,37,1,1,3,11,"Native, Born In US",5,Shoe stores (44821),4700,"Private, For Profit",No,No,Employed-At Work
83561,88511600966995,April,DE,319.8153,880,40,40,2,NA,39,2,1,2,10,"Native, Born In US",5,Hospitals (622),3600,"Private, For Profit",No,No,Employed-At Work
83562,88511600966995,April,DE,618.9566,460,40,39,2,NA,42,1,1,2,10,"Native, Born In US",5,Hospitals (622),4230,"Private, For Profit",No,No,Employed-At Work
83566,88940390160721,April,DE,476.872,1000,40,39,1,NA,37,1,7,0,0,"Native, Born In US",5,** Services to buildings and dwellings (5617 exc. 56173),20,"Private, For Profit",No,No,Employed-At Work
83567,89620906790721,April,DE,446.7702,900,40,43,1,NA,54,1,1,0,0,"Native, Born In US",5,"Pulp, paper, and paperboard mills (3221)",5240,"Private, For Profit",No,No,Employed-At Work
83568,89620906790721,April,DE,382.1414,1015,36,43,1,NA,58,2,1,0,0,"Native, Born In US",5,Nursing care facilities (6231),3255,"Private, For Profit",No,No,Employed-At Work
83569,89620906790721,April,DE,520.0287,324,24,43,1,NA,24,2,7,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
83574,100960260670109,April,DE,382.1414,850,42,42,1,NA,58,2,1,0,0,"Native, Born In US",5,Legal services (5411),2145,"Private, For Profit",No,No,Employed-At Work
83576,102703021793450,April,DE,370.3896,2000,40,43,1,NA,60,2,5,0,0,"Native, Born In US",5,"Non-depository credit and related activities (5222, 5223)",120,"Private, For Profit",No,No,Employed-At Work
83580,110450720740107,April,DE,572.4016,742.5,45,43,1,NA,27,1,1,1,1,"Native, Born In US",5,*** Electronic shopping (New industry *454111),9000,"Private, For Profit",No,No,Employed-At Work
83581,110450720740107,April,DE,593.9782,480,40,42,8,NA,23,2,1,1,1,"Native, Born In US",5,*** Electronic shopping (New industry *454111),9640,"Private, For Profit",No,No,Employed-Absent
83582,125172749000730,April,DE,384.9834,460,40,38,2,NA,58,2,7,0,0,"Native, Born In US",5,Nursing care facilities (6231),3655,"Private, For Profit",No,No,Employed-At Work
83583,131030191120580,April,DE,421.8589,600,40,43,1,NA,51,2,1,1,4,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",120,"Private, For Profit",No,No,Employed-At Work
83584,131030191120580,April,DE,418.4044,1154,40,39,1,NA,48,1,1,1,4,"Native, Born In US",5,Computer systems design and related services (5415),1050,"Private, For Profit",No,No,Employed-At Work
83587,140107005712470,April,DE,529.8886,200,20,43,1,NA,24,2,7,0,0,"Native, Born In US",5,"Colleges and universities, including junior colleges (6112, 6113)",2010,"Private, For Profit",No,No,Employed-At Work
83588,140107005712470,April,DE,529.8886,846.15,40,44,1,NA,24,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2320,Government - State,No,No,Employed-At Work
83596,175986103013097,April,DE,356.5692,1057.69,48,39,2,NA,40,2,7,1,2,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",3700,Government - State,Yes,NA,Employed-At Work
83598,176922909051084,April,DE,469.5714,96,12,40,1,2,19,2,7,0,0,"Native, Born In US",5,"Colleges and universities, including junior colleges (6112, 6113)",5240,Government - State,No,No,Employed-At Work
83600,176922909051084,April,DE,500.5947,560,40,43,1,2,26,1,7,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",5240,"Private, For Profit",No,No,Employed-At Work
83602,180910520331101,April,DE,384.9834,607,40,43,2,NA,59,2,5,0,0,"Native, Born In US",5,Hospitals (622),5800,"Private, Nonprofit",No,No,Employed-At Work
83603,190659820587101,April,DE,412.9872,1472,44,43,1,NA,56,1,7,0,0,"Native, Born In US",5,"Miscellaneous manufacturing, n.e.c. (3399 exc. 33992, 33993)",1460,"Private, For Profit",No,No,Employed-At Work
83605,190690420010103,April,DE,530.3952,2403,40,43,4,NA,32,2,1,0,0,"Foreign Born, US Cit By Naturalization",5,"** Miscellaneous durable goods, merchant wholesalers (*4239 exc. 42393)",800,"Private, For Profit",No,No,Employed-At Work
83606,190690420010103,April,DE,708.5984,2000,40,46,4,NA,39,1,1,0,0,"Foreign Born, US Cit By Naturalization",5,Pharmaceutical and medicine manufacturing (3254),1720,"Private, For Profit",No,No,Employed-At Work
83607,194966207041009,April,DE,526.6539,961.53,37,43,2,NA,59,1,5,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),230,Government - State,No,No,Employed-At Work
83614,195906402031032,April,DE,472.4641,1000,40,42,1,NA,28,2,7,0,0,"Native, Born In US",5,Nursing care facilities (6231),3255,"Private, For Profit",No,No,Employed-At Work
83615,195906402031032,April,DE,472.4641,1000,40,39,1,NA,27,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),9120,"Private, For Profit",No,No,Employed-At Work
83616,195906402031032,April,DE,472.4641,1000,40,43,1,NA,28,2,7,0,0,"Native, Born In US",5,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",5110,"Private, For Profit",No,No,Employed-At Work
83617,195952602009079,April,DE,421.8589,2884.61,50,45,1,NA,53,2,5,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",2100,"Private, For Profit",No,No,Employed-At Work
83620,195956707017027,April,DE,378.4417,430,40,40,2,NA,30,2,7,1,2,"Native, Born In US",5,Nursing care facilities (6231),3655,"Private, For Profit",No,No,Employed-At Work
83624,199932705075097,April,DE,421.8589,2884.61,40,40,1,NA,53,2,5,0,0,"Native, Born In US",5,National security and international affairs (928),565,Government - Federal,No,No,Employed-At Work
83625,201033042002115,April,DE,440.6853,750,38,43,1,NA,34,2,2,0,0,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",2145,Government - State,No,No,Employed-At Work
83629,201033046902195,April,DE,561.7507,1000,40,40,1,NA,25,1,7,0,0,"Native, Born In US",5,"Other amusement, gambling, and recreation industries (713 exc. 71395)",5240,"Private, For Profit",No,No,Employed-At Work
83630,201033046902195,April,DE,520.9219,1000,40,43,1,NA,24,1,7,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",4040,"Private, For Profit",No,No,Employed-At Work
83631,201033046902195,April,DE,561.7507,1000,40,43,1,NA,25,1,7,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4040,"Private, For Profit",No,No,Employed-At Work
83633,201755056907294,April,DE,446.7702,440,40,39,1,NA,53,1,1,0,0,"Native, Born In US",5,Fuel dealers (45431),9130,"Private, For Profit",No,No,Employed-At Work
83634,201755056907294,April,DE,382.1414,1760,40,43,1,NA,58,2,1,0,0,"Native, Born In US",5,"Electric and gas, and other combinations (Pts. 2211, 2212)",160,"Private, For Profit",No,No,Employed-At Work
83638,206905721795540,April,DE,412.9872,1200,40,43,1,NA,57,1,1,1,3,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),20,"Private, For Profit",No,No,Employed-At Work
83654,210009979935775,April,DE,421.8589,1000,37,42,1,NA,52,2,1,1,4,"Native, Born In US",5,Waste management and remediation services (562),5700,Government - State,No,No,Employed-At Work
83655,210009979935775,April,DE,446.7702,1538.46,40,43,1,NA,52,1,1,1,4,"Native, Born In US",5,Automobile dealers (4411),50,"Private, For Profit",No,No,Employed-At Work
83657,290806099516818,April,DE,447.3093,1165,50,39,1,NA,32,1,1,1,2,"Native, Born In US",5,"Justice, public order, and safety activities (922, pt. 92115)",3740,Government - Local,Yes,NA,Employed-At Work
83658,290806099516818,April,DE,440.6853,648,36,43,1,NA,32,2,1,1,2,"Native, Born In US",5,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work
83659,301891016907375,April,DE,416.9495,550,29,44,2,NA,29,2,7,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2310,Government - State,No,No,Employed-At Work
83660,301891016907375,April,DE,416.9495,764,40,44,2,NA,26,2,7,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",3910,"Private, For Profit",No,No,Employed-At Work
83667,421110250000233,April,DE,447.3093,1450,40,42,1,NA,30,1,1,2,8,"Native, Born In US",5,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work
83668,421110250000233,April,DE,472.4641,600,24,42,1,NA,29,2,1,2,8,"Native, Born In US",5,Hospitals (622),3255,"Private, For Profit",No,No,Employed-At Work
83669,421170259000733,April,DE,404.1352,300,20,43,1,NA,41,2,1,3,10,"Native, Born In US",5,Child day care services (6244),2300,"Private, For Profit",No,No,Employed-At Work
83670,421170259000733,April,DE,448.9093,900,40,43,1,NA,42,1,1,3,10,"Native, Born In US",5,Couriers and messengers (492),5700,"Private, For Profit",No,No,Employed-At Work
83675,461190259000233,April,DE,440.6853,1000,40,43,1,NA,31,2,2,1,2,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",650,"Private, For Profit",No,No,Employed-Absent
83677,501397072907599,April,DE,421.8589,580,40,43,1,NA,53,2,1,0,0,"Native, Born In US",5,Hospitals (622),350,"Private, For Profit",No,No,Employed-At Work
83681,520899660197105,April,DE,446.7702,1000,40,42,1,NA,50,1,1,1,4,"Native, Born In US",5,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",5860,"Private, For Profit",No,No,Employed-At Work
83682,520899660197105,April,DE,404.1352,1000,45,42,1,NA,42,2,1,1,4,"Native, Born In US",5,Air transportation (481),630,"Private, For Profit",No,No,Employed-At Work
83685,565179889000216,April,DE,422.3461,673.07,35,39,1,NA,48,2,5,0,0,"Native, Born In US",5,Beauty salons (812112),4510,"Private, For Profit",No,No,Employed-At Work
83694,610007894691390,April,DE,378.4417,303,30,39,2,NA,34,2,7,2,8,"Native, Born In US",5,Child day care services (6244),4600,"Private, For Profit",No,No,Employed-At Work
83698,610007958698125,April,DE,422.3461,352,32,39,1,NA,47,2,5,0,0,"Native, Born In US",5,Administration of human resource programs (923),3820,Government - State,No,No,Employed-At Work
83699,610007962907996,April,DE,476.872,576.92,40,40,1,NA,37,1,7,0,0,"Native, Born In US",5,Business support services (5614),5100,"Private, For Profit",No,No,Employed-At Work
83700,610007962907996,April,DE,520.0287,200,20,40,1,NA,22,2,7,0,0,"Native, Born In US",5,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
83703,610009954572572,April,DE,382.1414,1137.5,40,43,1,NA,58,2,1,0,0,"Native, Born In US",5,Medical equipment and supplies manufacturing (3391),430,"Private, For Profit",No,No,Employed-At Work
83704,610009954572572,April,DE,423.7031,1040,40,39,1,NA,60,1,1,0,0,"Native, Born In US",5,"Administration of economic programs and space research (926, 927)",7210,Government - State,No,No,Employed-At Work
83708,660149020447103,April,DE,418.4044,2884.61,55,45,1,NA,46,1,1,2,3,"Native, Born In US",5,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
83709,660149020447103,April,DE,422.3461,2884.61,55,45,1,NA,45,2,1,2,3,"Native, Born In US",5,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work
83714,701203012907574,April,DE,349.9343,1029.2,40,43,2,NA,43,2,7,0,0,"Native, Born In US",5,Religious organizations (8131),5120,"Private, Nonprofit",No,No,Employed-At Work
83722,714020833169500,April,DE,520.9219,730.76,40,40,1,NA,24,1,7,0,0,"Native, Born In US",5,Grocery stores (4451),3930,"Private, Nonprofit",No,No,Employed-At Work
83725,722030050129490,April,DE,412.9872,865.38,40,39,1,NA,56,1,1,0,0,"Native, Born In US",5,Hospitals (622),5940,"Private, Nonprofit",No,No,Employed-At Work
83726,722030050129490,April,DE,421.8589,1250,40,39,1,NA,52,2,1,0,0,"Native, Born In US",5,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",100,"Private, For Profit",No,No,Employed-At Work
83732,751070803169420,April,DE,418.4044,692.3,40,39,1,NA,48,1,1,1,3,"Native, Born In US",5,Other motor vehicle dealers (4412),7260,"Private, For Profit",No,No,Employed-At Work
83733,751070803169420,April,DE,404.1352,1153.84,38,43,1,NA,42,2,1,1,3,"Native, Born In US",5,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",5000,Government - State,No,No,Employed-At Work
83734,755080161129890,April,DE,412.9872,2884.61,40,43,1,NA,57,1,4,0,0,"Native, Born In US",5,"Architectural, engineering, and related services (5413)",1360,"Private, For Profit",No,No,Employed-At Work
83735,755080161129890,April,DE,500.5947,1115,40,43,1,7,25,1,7,0,0,"Native, Born In US",5,"Miscellaneous manufacturing, n.e.c. (3399 exc. 33992, 33993)",5600,"Private, For Profit",No,No,Employed-At Work
83737,796020670169550,April,DE,421.8589,1807.69,40,39,1,NA,54,2,1,0,0,"Native, Born In US",5,Legal services (5411),5700,"Private, For Profit",No,No,Employed-At Work
83742,801961056902578,April,DE,447.3093,769.23,40,43,1,NA,30,1,7,0,0,"Native, Born In US",5,Hospitals (622),3645,"Private, Nonprofit",No,No,Employed-At Work
83747,850768520929100,April,DE,424.972,240,30,40,1,NA,19,2,7,0,0,"Native, Born In US",5,Used merchandise stores (4533),4720,"Private, For Profit",No,No,Employed-At Work
