"text_id","num_human_raters","avg_human_rating","mad_human_rating","avg_ai_rating","human_rate_first","ai_rate_first","human_ai_diff"
68,7,1.68571428571429,0.481632653061224,1.84285714285714,0,2,-0.157142857142857
69,10,-1.38,0.456,-0.825,-1,-1,-0.555
70,7,1.28571428571429,0.408163265306123,1.57142857142857,2,2,-0.285714285714286
71,6,1.2,0.266666666666667,1.76666666666667,1,2,-0.566666666666667
72,7,0.642857142857143,0.653061224489796,1.04285714285714,1.5,1.3,-0.4
73,4,2,0,2,2,2,0
74,6,-1.66666666666667,0.444444444444444,-1,-2,-1,-0.666666666666667
75,2,0.9,0.9,1.25,1.8,1.5,-0.35
76,7,0.0285714285714286,0.497959183673469,0.921428571428571,-0.6,1.25,-0.892857142857143
77,6,1,0.666666666666667,1,1,2,0
78,3,1,0,1,1,1,0
79,5,1,0.4,1,1,1,0
80,3,0,0.666666666666667,0.666666666666667,-1,0,-0.666666666666667
81,3,0.333333333333333,1.55555555555556,0.666666666666667,-2,0,-0.333333333333333
82,12,-0.541666666666667,0.618055555555556,-0.566666666666667,0,0,0.025
83,5,0.2,0.64,1.8,0,2,-1.6
84,7,-0.142857142857143,1.02040816326531,0.228571428571429,1,0,-0.371428571428571
85,1,0.3,0,1.2,0.3,1.2,-0.9
86,3,1.66666666666667,0.444444444444444,1.33333333333333,2,1,0.333333333333333
87,8,1.125,0.21875,1.25,1,1,-0.125
88,2,2,0,2,2,2,0
89,7,-1.85714285714286,0.244897959183673,-1.14285714285714,-2,-1,-0.714285714285714
90,3,0,0,0.333333333333333,0,0,-0.333333333333333
91,5,0.6,0.88,0.8,1,1,-0.2
92,8,0.9,0.875,0.9375,0.2,-0.5,-0.0375
93,9,0.4,0.8,-0.0111111111111111,1,1,0.411111111111111
94,3,1.33333333333333,0.444444444444444,1.66666666666667,2,2,-0.333333333333333
95,4,2,0,1.75,2,2,0.25
96,2,2,0,2,2,2,0
97,6,1.98333333333333,0.0277777777777778,1.33333333333333,2,2,0.65
98,1,1,0,0,1,0,1
99,6,1.93333333333333,0.111111111111111,1.58333333333333,1.6,1.5,0.35
100,8,1.6,0.5,1.3,1,0,0.3
101,4,1.975,0.0375,1.855,1.9,1.42,0.12
102,4,1.25,0.375,1.25,1,2,0
103,3,1.33333333333333,0.444444444444444,1,1,1,0.333333333333333
104,10,1.08,0.512,1.64,1,1,-0.56
105,3,0.666666666666667,0.444444444444444,0.333333333333333,0,-1,0.333333333333333
106,1,0,0,0,0,0,0
107,6,-1.33333333333333,0.444444444444444,-1.16666666666667,-1,-2,-0.166666666666667
108,6,0.333333333333333,0.888888888888889,0.333333333333333,1,0,0
109,8,0.6875,0.515625,1.0125,0,1,-0.325
110,1,-1,0,1,-1,1,-2
111,7,-2,0,-2,-2,-2,0
112,6,0.633333333333333,0.633333333333333,1.21666666666667,0,1,-0.583333333333333
113,3,1,0,1,1,1,0
114,8,1.625,0.65625,1.25,-1,0,0.375
115,1,1.5,0,0,1.5,0,1.5
116,8,0.975,0.24375,0.675,0,-1,0.3
117,5,-0.6,0.88,0.4,-1,1,-1
118,7,1.04285714285714,0.346938775510204,1.05714285714286,1,1,-0.0142857142857142
119,8,-1.1875,0.40625,-0.825,-1,1,-0.3625
120,4,1.075,0.4625,0.75,0.3,0,0.325
121,2,1.45,0.45,1,1.9,1,0.45
